ticker,property,datetime,value
AAPL,open,2025-04-08,207.44
AAPL,high,2025-04-08,216.89
AAPL,low,2025-04-08,199.6
AAPL,close,2025-04-08,214.9
AAPL,official_close,2025-04-08,214.19
AAPL,intraday_price,2025-04-08T10:00:00,203.56
AAPL,intraday_price,2025-04-08T11:00:00,206.09
AAPL,intraday_price,2025-04-08T12:00:00,206.47
AAPL,intraday_price,2025-04-08T13:00:00,200.65
AAPL,intraday_price,2025-04-08T14:00:00,213.58
AAPL,intraday_price,2025-04-08T15:00:00,213.79
AAPL,intraday_price,2025-04-08T16:00:00,200.17
AAPL,intraday_price,2025-04-08T17:00:00,215.58
AAPL,open,2025-04-09,228.4
AAPL,high,2025-04-09,233.64
AAPL,low,2025-04-09,227.05
AAPL,close,2025-04-09,233.46
AAPL,official_close,2025-04-09,233.43
AAPL,intraday_price,2025-04-09T10:00:00,230.92
AAPL,intraday_price,2025-04-09T11:00:00,228.46
AAPL,intraday_price,2025-04-09T12:00:00,228.29
AAPL,intraday_price,2025-04-09T13:00:00,231.7
AAPL,intraday_price,2025-04-09T14:00:00,229.55
AAPL,intraday_price,2025-04-09T15:00:00,227.76
AAPL,intraday_price,2025-04-09T16:00:00,229.39
AAPL,intraday_price,2025-04-09T17:00:00,227.75
AAPL,open,2025-04-10,140.47
AAPL,high,2025-04-10,146.75
AAPL,low,2025-04-10,131.26
AAPL,close,2025-04-10,141.77
AAPL,official_close,2025-04-10,141.72
AAPL,intraday_price,2025-04-10T10:00:00,142.21
AAPL,intraday_price,2025-04-10T11:00:00,142.84
AAPL,intraday_price,2025-04-10T12:00:00,143.1
AAPL,intraday_price,2025-04-10T13:00:00,132.56
AAPL,intraday_price,2025-04-10T14:00:00,139.88
AAPL,intraday_price,2025-04-10T15:00:00,142.23
AAPL,intraday_price,2025-04-10T16:00:00,144.17
AAPL,intraday_price,2025-04-10T17:00:00,133.13
AAPL,open,2025-04-11,160.45
AAPL,high,2025-04-11,165.19
AAPL,low,2025-04-11,151.58
AAPL,close,2025-04-11,157.36
AAPL,official_close,2025-04-11,157.6
AAPL,intraday_price,2025-04-11T10:00:00,155.62
AAPL,intraday_price,2025-04-11T11:00:00,159.0
AAPL,intraday_price,2025-04-11T12:00:00,154.84
AAPL,intraday_price,2025-04-11T13:00:00,156.49
AAPL,intraday_price,2025-04-11T14:00:00,164.07
AAPL,intraday_price,2025-04-11T15:00:00,164.73
AAPL,intraday_price,2025-04-11T16:00:00,162.34
AAPL,intraday_price,2025-04-11T17:00:00,161.42
AAPL,open,2025-04-12,169.69
AAPL,high,2025-04-12,170.89
AAPL,low,2025-04-12,166.04
AAPL,close,2025-04-12,167.9
AAPL,official_close,2025-04-12,166.95
AAPL,intraday_price,2025-04-12T10:00:00,167.14
AAPL,intraday_price,2025-04-12T11:00:00,166.39
AAPL,intraday_price,2025-04-12T12:00:00,167.38
